Name;Position;Team;Geburtsdatum;Bild
Antonios Papadopoulos;Verteidiger;FC Lugano;1999-09-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204741_114814101.png
Ezgjan Alioski;Verteidiger;FC Lugano;1992-02-12;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204766_114814126.png
Lukas Mai;Verteidiger;FC Lugano;2000-03-31;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204799_114814159.png
Joel Bichsel;Verteidiger;FC Lugano;2002-03-04;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204795_114814155.png
Martim Alexandre Costa Marques;Verteidiger;FC Lugano;2004-02-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204802_114814162.png
João Victor Schlickmann Carbone;Verteidiger;FC Lugano;2005-01-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204792_114814152.png
Mattia Zanotti;Verteidiger;FC Lugano;2003-01-11;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204807_114814167.png
Anto Grgic;Mittelfeldspieler;FC Lugano;1996-11-28;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204737_114814096.png
Ahmed Kendouci;Mittelfeldspieler;FC Lugano;1999-06-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204734_114814098.png
Claudio Cassano;Mittelfeldspieler;FC Lugano;2003-07-22;
Yanis Cimignani;Mittelfeldspieler;FC Lugano;2002-01-22;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204819_114814179.png
Gjan Ajdin;Mittelfeldspieler;FC Lugano;2007-01-13;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204785_114814145.png
Uran Bislimi;Mittelfeldspieler;FC Lugano;1999-09-25;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204817_114814177.png
Daniel Dos Santos Correia;Mittelfeldspieler;FC Lugano;2002-12-29;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204754_114814114.png
Jason Parente;Mittelfeldspieler;FC Lugano;2006-06-10;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204790_114814150.png
Nicolò Puddu;Mittelfeldspieler;FC Lugano;2007-09-19;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204812_114814172.png
Christian Raffa;Mittelfeldspieler;FC Lugano;2007-04-07;https://cdn.scoreplay.io/scoreplay-mam-media/322/5409190/media_115204749_114814109.png
Albian Ajeti;Stürmer;FC Lugano;1997-02-26;https://cdn.scoreplay.io/scoreplay-mam-media/322/5433031/media_115950815_115560515.png
